VALUE
ATHY
ATPM25
BEHO
BEPM25
BGHO
BGPM25
CHHY
CHPM25
CO2
CYPM25
CZHO
CZPM25
DEHO
DEPM25
DKHO
DKPM25
EEHO
EEPM25
ESHO
ESPM25
FIHO
FIPM25
FRHO
FRPM25
GRHY
GRPM25
HRHY
HRPM25
HUHO
HUPM25
IEHO
IEPM25
ITHO
ITPM25
LTHO
LTPM25
LUHO
LUPM25
LVHO
LVPM25
MTPM25
NLHO
NLPM25
NOHO
NOPM25
PLHO
PLPM25
PTHO
PTPM25
ROHY
ROPM25
SEHO
SEPM25
SIHO
SIPM25
SKHO
SKPM25
UKC2
UKHO
UKPM25
