REGION,EMISSION,YEAR,VALUE
REGION1,CHHY,2027,138.78
REGION1,CHHY,2028,139.32
REGION1,CHHY,2029,139.86
REGION1,CHHY,2030,140.4
REGION1,CHHY,2031,140.94
REGION1,CHHY,2032,141.48
REGION1,CHHY,2033,142.02
REGION1,CHHY,2034,142.56
REGION1,CHHY,2035,143.1
REGION1,CHHY,2036,143.64
REGION1,CHHY,2037,144.18
REGION1,CHHY,2038,144.72
REGION1,CHHY,2039,145.26
REGION1,CHHY,2040,145.8
REGION1,CHHY,2041,146.52
REGION1,CHHY,2042,147.24
REGION1,CHHY,2043,147.96
REGION1,CHHY,2044,148.68
REGION1,CHHY,2045,149.4
REGION1,CHHY,2046,150.12
REGION1,CHHY,2047,150.84
REGION1,CHHY,2048,151.56
REGION1,CHHY,2049,152.28
REGION1,CHHY,2050,153
REGION1,CHHY,2051,153
REGION1,CHHY,2052,153
REGION1,CHHY,2053,153
REGION1,CHHY,2054,153
REGION1,CHHY,2055,153
REGION1,CHHY,2056,153
REGION1,CHHY,2057,153
REGION1,CHHY,2058,153
REGION1,CHHY,2059,153
REGION1,CHHY,2060,153
REGION1,CO2,2015,873998.4615
REGION1,CO2,2016,848768.3372
REGION1,CO2,2017,823955.4156
REGION1,CO2,2018,799553.8755
REGION1,CO2,2019,775557.9707
REGION1,CO2,2020,751962.0286
REGION1,CO2,2021,724614.6444
REGION1,CO2,2022,697739.0116
REGION1,CO2,2023,671328.4301
REGION1,CO2,2024,645376.2863
REGION1,CO2,2025,619876.0525
REGION1,CO2,2026,594821.2857
REGION1,CO2,2027,570205.6267
REGION1,CO2,2028,546022.7987
REGION1,CO2,2029,522266.6068
REGION1,CO2,2030,498930.9364
REGION1,CO2,2031,476009.7527
REGION1,CO2,2032,453497.0996
REGION1,CO2,2033,431387.0986
REGION1,CO2,2034,409673.9479
REGION1,CO2,2035,388351.9216
REGION1,CO2,2036,367415.3683
REGION1,CO2,2037,346858.7109
REGION1,CO2,2038,326676.4452
REGION1,CO2,2039,306863.1389
REGION1,CO2,2040,287413.431
REGION1,CO2,2041,268322.031
REGION1,CO2,2042,249583.7177
REGION1,CO2,2043,231193.3384
REGION1,CO2,2044,213145.8083
REGION1,CO2,2045,195436.1095
REGION1,CO2,2046,178059.2901
REGION1,CO2,2047,161010.4635
REGION1,CO2,2048,144284.8075
REGION1,CO2,2049,127877.5636
REGION1,CO2,2050,111784.036
REGION1,CO2,2051,95999.59126
REGION1,CO2,2052,80519.657
REGION1,CO2,2053,65339.72147
REGION1,CO2,2054,50455.33268
REGION1,CO2,2055,35862.09769
